ax,ay,az
30,-2,-9
29,-3,-4
30,1,-6
31,2,-10
29,0,-5
31,-2,-7
29,3,-11
28,0,-6
30,-3,-6
31,0,-6
30,3,-10
30,3,-10
29,-1,-5
27,-2,-9
25,1,-7
32,2,-6
35,2,-8
30,-1,-7
29,1,-6
29,0,-10
28,1,-10
31,2,-5
31,1,-6
29,1,-5
30,2,-9
30,2,-10
30,-1,-7
27,-2,-7
27,0,-6
33,4,-8
34,2,-10
29,-2,-3
30,2,-8
24,0,-7
33,3,-7
36,0,-7
29,-1,-7
29,1,-6
29,0,-10
27,-1,-9
33,2,-6
32,2,-5
29,1,-6
28,-1,-6
28,1,-10
28,1,-11
32,0,-6
36,1,-10
28,0,-7
29,1,-6
28,0,-11
27,0,-9
35,3,-8
33,3,-6
29,0,-6
28,-1,-6
30,2,-11
30,0,-10
28,-3,-7
30,0,-7
32,2,-9
29,1,-5
32,-1,-6
29,2,-11
26,-1,-6
28,-2,-6
34,0,-9
33,5,-11
29,2,-8
27,0,-11
26,-2,-8
36,2,-9
32,4,-9
29,0,-7
29,-2,-3
27,0,-10
25,2,-7
33,3,-6
36,1,-8
28,-2,-6
29,1,-7
26,0,-6
28,-2,-9
34,2,-6
32,3,-6
28,0,-5
28,-1,-6
29,2,-10
28,0,-10
30,-2,-6
33,2,-8
30,2,-10
29,1,-5
30,1,-8
29,2,-12
29,1,-7
31,-2,-6
32,0,-5
30,3,-10
31,2,-10
31,-2,-8
29,-2,-6
28,1,-6
33,5,-10
29,2,-8
29,-1,-3
27,-1,-9
24,2,-6
33,3,-7
36,1,-9
29,0,-6
29,0,-6
29,1,-9
29,1,-10
29,-1,-6
30,-3,-6
30,0,-5
31,2,-10
30,3,-9
30,1,-7
28,-1,-7
27,-1,-5
32,4,-10
31,2,-6
30,0,-5
29,3,-11
26,-1,-5
32,-2,-4
30,0,-5
28,-2,-5
26,2,-11
27,1,-10
32,-1,-5
35,3,-8
29,1,-8
28,0,-5
30,-1,-7
30,2,-8
26,1,-8
27,0,-10
34,2,-7
29,0,-7
30,0,-6
29,0,-10
29,1,-10
30,0,-6
30,-1,-7
31,0,-6
31,1,-9
31,2,-9
30,1,-8
28,-2,-6
27,0,-5
33,5,-10
32,0,-7
30,-1,-4
30,2,-12
26,3,-6
31,-3,-3
32,-1,-5
30,3,-11
30,2,-9
31,-2,-6
28,-1,-7
26,0,-6
33,4,-8
34,0,-9
28,-2,-3
30,1,-8
28,0,-10
29,0,-10
29,1,-6
28,-2,-7
33,0,-8
34,3,-9
30,0,-7
29,0,-10
29,1,-10
29,1,-7
28,-1,-6
32,0,-8
34,3,-9
31,1,-8
28,-1,-4
27,0,-10
26,0,-6
32,3,-6
35,1,-7
30,-2,-5
30,1,-6
25,0,-8
27,-2,-8
36,-1,-8
31,3,-10
29,2,-8
31,-2,-9
30,-6,-3
30,1,-5
32,4,-11
30,1,-5
29,-1,-5
30,1,-9
26,1,-7
27,-2,-6
34,1,-9
31,5,-11
30,2,-9
29,-1,-5
26,-1,-8
25,-1,-5
33,5,-8
29,0,-7
29,-1,-6
30,2,-10
29,0,-10
28,-2,-6
30,1,-6
33,3,-9
31,1,-7
29,-1,-4
31,1,-8
26,0,-9
27,-1,-8
36,2,-11
32,4,-8
29,0,-7
29,-1,-6
29,1,-10
28,0,-10
29,-1,-6
31,0,-5
32,3,-9
29,0,-5
29,0,-5
31,2,-9
26,0,-8
27,-3,-8
36,1,-10
33,4,-9
29,0,-7
29,-3,-4
28,0,-9
25,1,-7
31,2,-7
36,2,-7
29,-1,-5
30,1,-11
28,1,-8
31,0,-5
34,2,-6
29,1,-8
28,1,-4
29,-2,-11
27,-1,-9
31,2,-5
33,1,-6
28,1,-4
28,0,-7
29,1,-9
30,1,-8
28,-2,-8
27,1,-6
33,3,-8
34,1,-7
29,-2,-6
30,1,-7
28,0,-8
28,-1,-9
35,2,-7
33,3,-8
29,0,-4
29,-1,-2
27,-2,-9
