ax,ay,az
29,0,6
19,-9,-6
31,1,8
26,-7,-13
24,-4,8
32,1,-24
33,-7,-4
41,8,-24
21,-14,-2
27,2,-13
25,-7,-20
28,2,1
37,9,-24
16,-8,-3
32,-1,-22
33,9,4
20,-4,-7
32,3,5
21,-15,13
32,2,19
19,2,12
39,-22,11
35,6,-2
31,2,-8
37,12,0
48,-3,-15
24,7,-9
50,13,-17
23,-5,0
52,3,-11
12,-5,14
43,21,-11
30,-9,14
39,6,-9
28,1,10
32,10,-11
34,1,-1
17,-1,5
31,8,-2
29,-4,1
31,2,-9
20,-7,14
23,10,-10
23,-11,5
31,-1,-13
24,-5,14
11,1,-3
24,-7,-1
18,-2,0
31,10,8
20,-12,-1
36,-3,2
20,0,-15
31,10,-4
22,-10,-3
31,11,-8
22,-5,1
29,6,-10
23,-7,-12
32,12,-12
13,-2,-6
24,8,-15
9,-1,8
23,5,-24
21,-11,-14
27,1,-8
14,-9,15
24,-6,-26
18,-4,-17
23,2,-13
14,-10,1
18,1,-19
31,-7,6
31,2,-24
19,-13,5
25,15,-24
22,-13,2
42,7,-34
25,0,4
32,5,-23
37,-5,-22
39,9,0
22,-3,12
17,-1,-2
48,7,-2
18,-2,-6
36,-8,6
21,-5,-3
49,-1,-1
24,-10,14
16,3,21
27,-4,-8
32,-4,-2
18,10,-15
26,-10,-5
36,5,12
36,6,-25
26,-9,15
7,3,3
31,-2,-25
8,14,-8
19,4,-4
28,-2,-3
44,2,-3
11,20,-29
24,-8,-23
16,-3,9
40,8,10
9,-8,-4
31,6,-3
43,-1,-40
24,-16,10
47,4,6
37,-10,16
18,8,-9
31,8,-13
34,0,-4
30,9,-16
60,-5,13
17,2,7
50,16,0
42,-7,9
19,-3,6
39,4,-24
33,-8,15
26,-3,-3
28,13,-37
20,-6,6
28,5,-21
43,3,-1
23,-9,1
17,0,4
21,-3,-2
25,4,-12
28,3,-12
29,5,-21
22,-1,-1
30,-10,5
47,5,-3
31,-8,3
33,-1,-2
43,2,-6
37,1,-2
35,5,-18
23,2,-3
33,-2,2
26,-11,-1
32,8,6
39,-5,-21
32,-2,1
26,12,-18
32,-8,-24
21,5,5
19,9,-16
17,6,-14
23,-4,-4
26,2,-6
17,8,-6
24,-8,5
17,4,-13
68,-2,-19
20,6,-10
11,-8,13
32,1,10
59,11,-8
39,-14,14
25,-6,-12
47,14,-18
25,7,4
24,2,-39
63,-4,24
57,-11,31
22,-9,-30
28,4,0
48,13,-9
48,-6,4
22,6,-7
17,2,-23
23,-4,17
48,-5,-9
52,5,-34
8,-24,61
46,7,0
40,-31,-2
97,-7,72
18,5,-34
22,-3,-46
10,2,-32
52,5,-7
33,-19,37
16,2,2
8,6,-3
14,-8,5
25,21,-47
62,-13,3
38,15,-23
36,10,-20
44,2,16
31,-2,9
29,1,-19
36,-1,3
28,11,-4
39,7,-15
31,-9,3
23,-1,-13
42,-2,-2
16,-2,29
14,0,-5
31,2,-16
23,-6,14
31,-5,-17
32,5,-2
45,-2,0
28,6,8
31,-10,-4
25,8,-17
31,1,-15
31,8,-11
27,1,-10
28,3,-9
17,3,-12
28,-7,-6
24,1,-15
41,8,-15
34,2,0
33,-5,2
34,-2,-5
21,-14,11
22,6,2
36,9,-15
41,6,-10
22,-2,-12
16,3,-2
23,3,-20
33,-13,11
32,13,-22
28,5,-29
47,3,1
28,1,-16
31,-1,-10
28,9,-18
31,4,-3
35,15,-15
29,-10,4
23,-3,-2
41,6,-7
38,-2,-5
31,-7,-11
26,-3,-7
23,3,3
25,1,0
22,12,-16
37,7,-25
