ax,ay,az
29,4,-8
32,2,-2
32,-3,0
32,3,-2
31,4,-4
30,2,-4
29,2,-1
27,-3,-2
31,-2,-3
33,3,-2
31,3,-2
32,-5,0
31,1,-1
27,0,-1
32,1,0
33,2,-4
30,1,2
30,3,-4
29,-1,2
33,-4,6
28,0,1
32,-2,4
28,7,-4
28,2,-4
32,-5,-1
34,0,-2
25,-2,1
29,-5,6
24,3,-1
31,2,3
45,-3,-11
28,3,-4
27,5,5
25,4,7
29,-2,3
28,11,0
28,1,0
24,0,5
32,1,1
31,-1,16
28,6,-1
35,-10,4
35,8,-10
33,6,10
31,-8,15
38,-4,5
35,-2,9
29,5,0
27,15,10
29,-6,11
34,-1,-3
29,-1,7
33,-2,4
33,10,5
29,1,15
42,8,-9
41,-9,16
21,-6,26
42,1,5
25,19,8
10,-12,19
24,-7,15
19,-13,28
16,8,0
9,-16,47
23,0,1
24,-13,27
41,0,-4
15,-19,33
26,14,11
12,-11,22
58,-5,35
38,-18,43
9,-2,27
16,20,24
42,16,-33
18,20,-18
8,4,-18
4,-13,29
17,-2,6
36,-7,18
29,1,15
30,-20,29
39,-2,10
26,17,18
16,10,21
29,-2,-17
19,-15,43
50,-9,-10
39,2,-2
43,2,-32
28,13,14
22,1,44
30,-22,-11
2,12,33
56,5,5
25,16,0
49,3,-7
8,11,30
31,-28,6
25,15,5
8,1,30
33,-10,-11
55,-10,-42
40,4,-13
18,27,-7
34,11,23
40,10,-20
28,20,-18
14,-8,5
31,-17,-7
38,-31,46
29,23,12
25,11,-35
65,0,-9
59,-21,-25
50,-8,-25
58,-9,-25
41,-2,-46
5,29,2
9,6,13
32,-16,-29
34,-11,2
6,26,4
19,-2,16
36,-22,6
17,18,23
42,6,13
27,19,13
47,0,14
32,12,-1
-10,-10,39
-30,-12,34
2,-28,49
47,-21,-30
52,-11,-21
38,-21,33
4,5,-22
37,-2,-6
55,12,-15
20,-6,19
20,17,-4
54,-1,-20
39,11,31
10,32,-1
15,-14,17
13,-13,48
45,-7,-17
48,9,-14
44,13,-4
40,31,-29
5,7,14
14,0,48
29,-30,-7
53,-1,-22
28,20,19
44,-2,4
48,-5,-23
24,15,7
0,13,31
45,-13,-10
49,-4,-8
9,16,35
36,-21,3
14,24,-3
14,4,46
38,3,-31
36,0,-14
29,-8,2
38,7,-15
47,16,-22
31,9,-30
8,-3,7
26,9,-19
49,-11,15
36,38,-57
25,-17,5
28,-3,0
41,-9,-14
34,-15,14
17,26,5
24,24,-3
41,-13,-23
43,0,-30
35,-2,-2
28,2,-8
34,17,-4
