ax,ay,az
28,-1,0
41,-7,1
34,2,-4
25,3,-4
45,-1,-5
43,2,-5
27,8,-4
32,7,-10
34,3,-7
32,3,-9
29,0,-4
36,-4,-1
24,1,-3
24,3,-9
37,2,-12
28,4,-8
27,1,-2
30,3,-5
33,-7,-2
34,-7,-4
30,3,-6
21,8,-8
38,-4,-6
43,-9,6
25,10,-14
21,13,-17
34,0,-4
26,4,-7
24,7,-10
30,0,-1
34,-3,-5
33,-2,-6
28,6,-9
32,4,-4
30,1,-2
30,2,-8
34,4,-6
28,0,-4
31,-1,-6
30,1,-5
27,2,-3
28,-5,-3
31,1,-6
33,1,-5
28,3,-7
24,5,-11
29,-2,-7
30,2,-1
32,6,-9
32,2,-9
31,1,-6
32,-1,-5
32,0,-2
33,0,-5
31,-1,-5
26,6,-10
28,4,-7
33,2,-7
33,2,-3
28,5,-6
28,1,-4
26,5,-9
28,0,-4
28,0,-6
36,-1,-4
35,0,-3
28,4,-7
27,4,-7
28,2,-8
28,3,-7
31,-1,-5
32,0,-3
32,1,-3
30,2,-1
29,5,-7
29,4,-4
30,-2,0
30,-1,-1
33,1,0
32,2,-1
30,5,-5
28,3,-5
30,-1,-1
32,-3,-1
34,2,-6
32,1,-1
29,1,-5
28,2,-3
30,-2,-3
29,-1,-2
33,1,-1
35,-1,-5
29,-3,-3
29,0,-5
28,0,-6
28,-1,-4
35,-1,-3
31,1,-2
31,1,-1
27,-1,-1
28,1,-4
