ax,ay,az
42,-4,6
20,-6,18
10,0,11
45,20,-23
52,9,-13
33,0,8
20,0,-8
29,-9,4
38,-4,-5
15,-13,1
28,-15,10
40,-3,6
22,0,11
31,1,10
16,13,-9
46,2,15
37,5,-11
12,3,-17
35,-5,9
18,9,-26
25,-10,6
38,0,6
9,5,5
17,10,7
56,-7,28
19,4,8
29,-4,3
31,-1,-24
19,-1,-7
32,-2,14
31,7,-13
19,7,-14
38,6,8
27,13,-21
43,13,-2
30,-6,18
16,9,8
36,11,-18
44,-25,24
29,-3,25
15,11,-18
23,5,18
25,6,5
30,-1,-11
46,-6,-1
21,6,-1
10,9,-2
39,9,-9
34,0,2
37,-8,16
34,2,7
24,-9,6
24,1,1
35,4,-18
65,19,8
48,0,15
24,2,-11
16,-14,28
44,-12,0
25,-5,16
17,2,-10
31,7,1
37,3,16
28,-12,0
38,5,2
28,-15,18
19,-3,23
33,-7,11
25,-1,8
26,10,-1
37,-16,3
20,-3,31
37,3,-12
36,-1,5
29,-12,12
23,10,20
37,9,-18
25,-4,15
45,-12,-5
38,0,4
25,2,9
18,-11,-2
48,7,-6
43,1,2
18,16,2
23,-9,0
29,22,9
47,2,-18
6,-1,8
25,0,20
48,-4,9
36,5,-17
24,1,2
22,6,3
36,-1,1
27,7,6
38,-4,-15
15,-7,23
29,0,-14
28,-8,6
38,4,-13
38,-9,-5
13,3,16
27,-9,1
44,-3,0
43,7,-14
14,-6,16
21,-4,4
39,-4,-2
11,5,8
35,-9,-6
12,-2,17
39,-12,-7
42,-16,5
1,10,2
51,-2,-4
31,5,6
30,0,-3
18,8,-2
25,-4,20
58,-15,-11
14,-2,15
20,-3,7
39,-17,14
42,9,-12
41,-4,3
16,-1,5
20,4,9
30,-6,-4
33,6,6
28,0,-14
16,2,13
20,2,7
46,-20,-18
38,5,8
32,-15,-10
35,-8,-13
17,1,12
40,-4,-10
29,0,-5
20,-18,27
27,-2,-20
45,-5,15
26,-18,1
32,-4,3
41,-7,8
23,-2,2
24,3,1
23,0,2
32,4,-10
38,-15,6
37,-3,-10
14,-19,8
29,-6,-15
43,-11,22
40,2,-9
36,-7,2
13,4,-12
37,-15,7
53,-14,-14
22,-16,25
40,-4,-19
48,-4,-7
22,-11,19
40,-4,-22
18,4,-2
34,-17,15
34,-8,-9
26,-4,-3
10,-4,12
13,-13,-21
41,0,-1
36,1,13
49,-3,-34
27,-7,16
2,7,-1
29,-11,-9
54,-1,-10
31,7,6
22,4,9
26,-4,-18
44,-19,20
36,-2,-5
20,0,-9
