ax,ay,az
26,1,-1
36,11,-9
24,4,-2
30,-9,14
26,0,12
31,7,0
37,2,0
34,-13,6
16,2,15
17,-1,3
48,-11,7
39,2,2
19,7,12
23,1,11
24,-6,0
31,2,1
26,-1,12
39,3,16
23,3,6
17,-9,11
33,-10,11
28,-1,-3
25,-11,16
28,-7,1
37,5,-2
17,-3,20
17,3,20
37,10,1
18,7,4
37,1,5
39,2,2
26,-1,3
44,-9,4
26,-6,4
17,-6,8
25,-11,3
22,-9,7
44,-5,6
34,5,-6
28,-19,10
29,-15,11
23,-5,8
26,-11,12
23,0,2
24,1,5
32,13,3
20,9,5
37,2,-1
43,6,-3
29,-2,7
27,2,5
23,6,13
35,3,9
39,1,-8
26,2,9
23,5,-1
27,-6,-2
38,-1,0
28,-6,9
17,-12,19
32,1,-1
28,-2,1
33,10,12
32,11,-8
34,-3,3
43,8,-5
20,-6,4
22,6,4
36,1,1
41,7,-11
30,-6,15
32,-1,0
19,-15,16
33,-21,26
24,8,-4
24,-3,22
9,3,-1
33,-12,20
27,3,1
25,-7,22
19,2,-4
23,-16,16
34,10,-4
25,8,10
21,-7,1
24,-10,20
30,6,-1
24,-7,21
32,-10,11
22,-13,13
35,5,12
30,-3,-8
30,-10,17
28,5,-2
30,-2,-4
22,1,-4
32,3,21
23,2,9
36,-4,12
35,1,13
42,5,-14
33,-6,18
25,6,3
22,7,0
32,3,18
27,9,13
28,-7,2
32,-10,2
53,13,-33
-4,12,-29
36,6,20
41,6,0
41,-1,4
37,4,5
10,1,0
32,6,-18
48,14,15
-16,19,-6
30,-25,8
35,-20,25
20,8,-8
24,2,-22
27,2,9
30,7,-9
48,2,14
23,-2,28
29,-1,3
46,-9,10
34,12,-12
18,0,8
24,11,-6
38,-18,18
37,-15,28
21,-6,4
26,-15,12
28,-2,-11
36,-8,1
19,7,-5
22,-4,-23
34,4,3
24,13,-10
30,2,10
24,6,4
49,0,16
33,-7,21
29,3,-14
39,-6,11
27,6,-8
32,7,-13
34,-2,14
20,8,7
32,-13,18
33,3,19
23,-10,11
38,-20,22
17,1,-14
39,-11,-1
29,8,-21
31,2,-24
25,-1,17
26,13,-7
31,-10,23
42,2,6
36,-4,6
23,-3,24
6,14,-20
57,-15,7
5,18,-7
28,-20,22
33,-15,20
46,-15,-14
26,-11,2
24,16,-27
24,2,-28
55,5,16
31,28,-18
32,4,15
36,0,13
30,12,-4
18,12,-3
35,-20,22
24,-22,28
27,7,-23
42,-10,-16
37,6,-2
38,20,-24
29,-3,23
22,14,-6
36,-10,9
36,3,8
9,14,-3
39,-10,1
33,17,7
16,5,1
26,-12,32
38,-7,8
38,-14,4
24,-24,30
22,15,-31
27,1,-20
33,6,16
33,13,-13
40,4,9
35,17,-15
31,2,2
18,15,-2
23,9,-3
25,-2,21
26,5,4
24,-20,16
12,-10,11
54,10,-23
35,-3,-24
24,12,7
39,28,-27
67,-5,1
29,6,36
25,14,-24
29,-9,-1
7,13,23
20,18,-6
27,-18,-14
51,-25,10
26,25,-12
22,19,-9
28,-5,15
44,0,14
31,11,-7
12,17,-23
33,-20,37
28,-5,20
29,-14,-11
31,-10,6
24,14,-18
29,1,-22
37,8,2
21,14,-20
30,5,14
20,13,0
36,-2,23
26,8,-9
32,-3,7
32,8,-5
41,-3,10
32,7,-4
34,-3,1
35,-2,1
22,-19,30
32,0,-3
29,-10,3
44,19,10
27,-12,28
14,9,8
27,10,8
33,13,9
32,-6,8
34,5,0
34,3,-6
30,-15,11
23,2,23
35,-12,12
35,6,0
18,20,12
38,-13,9
37,1,7
27,5,22
19,6,-15
23,7,-7
42,-1,14
43,1,6
20,5,-5
18,9,7
35,6,11
29,-2,3
32,-1,13
35,9,-12
32,0,20
18,-4,14
30,-4,4
47,-7,-3
47,-7,16
20,21,-9
24,10,-4
7,12,4
23,7,-2
43,-11,14
28,-12,19
26,7,-12
37,6,4
24,10,11
14,9,13
38,-4,13
41,-8,2
28,-5,2
34,-13,12
19,6,4
19,5,-3
18,8,5
21,14,-12
32,1,3
37,12,-2
47,-8,3
43,-9,9
27,-12,12
20,-29,22
42,8,-4
47,16,0
30,8,9
17,12,-2
40,5,-10
38,5,11
18,-10,31
22,-12,4
41,3,-17
30,-5,10
23,-13,11
34,-4,7
34,0,-9
33,-4,7
25,-1,25
37,13,-9
